PartitionKey,RowKey,Timestamp,aangeboden_sinds,achterom,achtertuin,aparte_toiletten,badkamers,badkamervoorzieningen,balkon,bouwjaar,bouwperiode_end,bouwperiode_start,buitenruimte_oppervlakte,cv_ketel,dakterras,energielabel,externe_bergruimte_oppervlakte,frans_balkon,garage_text,gemeente,huisnummer,inhoud,insertion_date,isolatie,kamers,kelder,keurmerken,kosten_koper,ligging,ligging_tuin,looptijd,parkeergelegenheid,patio,periodieke_bijdrage,plaats,postcode,postcode_regio,postcode_wijk,schuur_of_berging,slaapkamers,soort_bouw,soort_dak,soort_woning,specifiek,straat,toegankelijkheid,tuin_rondom,url,verdieping,verkocht,verkoopdatum,verwarming,vliering,voortuin,voorzieningen,vraagprijs,warm_water,woningtype,woonlagen,woonoppervlakte,zijtuin,zolder,zonneterras,zonneterras_breedte,zonneterras_diepte,zonneterras_oppervlakte,inpandige_ruimte_oppervlakte,achtertuin_breedte,achtertuin_diepte,achtertuin_oppervlakte,eigendomssituatie,kosten_erfpacht,perceel_oppervlakte,voortuin_breedte,voortuin_diepte,voortuin_oppervlakte,eind_datum_erfpacht,zijtuin_breedte,zijtuin_diepte,zijtuin_oppervlakte,patio_breedte,patio_diepte,patio_oppervlakte
Utrecht,3522_55_85240521,2016-10-31T08:35:45.212Z,2016-06-11T00:00:00.000Z,true,true,1,1,"ligbad, douche en toilet",false,1906,1906,1906,,,false,f,2,false,,Utrecht,55,358,2016-10-31T08:35:45.000Z,dakisolatie en dubbel glas,5,false,,true,aan rustige weg en in woonwijk,N,3 weken,,false,,false,3522 AC,35,3522,aangebouwde stenen berging,4,bestaande bouw,samengesteld dak bedekt met dakpannen en bitumineuze dakbedekking,"eengezinswoning, tussenwoning",,Croesestraat,,false,http://www.funda.nl/koop/verkocht/utrecht/huis-85240521-croesestraat-55/,,true,2016-07-04T00:00:00.000Z,c.v.-ketel,false,false,elektra,419000,c.v.-ketel,huis,3,122,false,false,false,,,,,3.7,9.62,36,volle eigendom,0,91,,,,,,,,,,
Utrecht,3522_56_49717177,2016-10-31T08:45:21.077Z,2016-04-19T00:00:00.000Z,true,true,1,1,ligbad,false,1935,1935,1935,,,false,f,3,false,,Utrecht,56,280,2016-10-31T08:45:21.000Z,dakisolatie en dubbel glas,4,false,,true,aan rustige weg en in woonwijk,ZW,3 weken,,false,,false,3522 RD,35,3522,vrijstaande houten berging,3,bestaande bouw,zadeldak bedekt met dakpannen,"eengezinswoning, tussenwoning",,Volkerakstraat,,false,http://www.funda.nl/koop/verkocht/utrecht/huis-49717177-volkerakstraat-56/,,true,2016-05-11T00:00:00.000Z,c.v.-ketel,false,false,,275000,c.v.-ketel,huis,2,74,false,true,false,,,,,4.5,6,27,volle eigendom,0,71,,,,,,,,,,
Utrecht,3522_56_49744908,2016-10-31T08:39:10.198Z,2016-05-25T00:00:00.000Z,true,true,1,1,douche,false,1935,1935,1935,,,false,,,false,,Utrecht,56,203,2016-10-31T08:39:10.000Z,dubbel glas,3,false,,true,aan rustige weg en in woonwijk,ZO,2 weken,openbaar parkeren,false,,false,3522 ER,35,3522,,1,bestaande bouw,zadeldak bedekt met dakpannen,benedenwoning (appartement),,Berkelstraat,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49744908-berkelstraat-56/,0,true,2016-06-11T00:00:00.000Z,c.v.-ketel,false,false,,175000,c.v.-ketel,appartement,2,61,false,false,false,,,,,3,4.7,14,volle eigendom,0,,,,,,,,,,,
Utrecht,3522_56_49887145,2016-10-31T08:34:15.173Z,2016-06-12T00:00:00.000Z,true,true,,,,false,1996,1996,1996,,,true,b,6,false,,Utrecht,56,350,2016-10-31T08:34:15.000Z,volledig geïsoleerd,5,false,,true,gelegen op het zuiden bereikbaar via achterom,Z,2½ maand,openbaar parkeren,false,,false,3522 TD,35,3522,vrijstaande houten berging,4,bestaande bouw,lessenaardak,"eengezinswoning, tussenwoning",,Westravenstraat,,false,http://www.funda.nl/koop/verkocht/utrecht/huis-49887145-westravenstraat-56/,,true,2016-08-30T00:00:00.000Z,c.v.-ketel,false,false,mechanische ventilatie en tv kabel,275000,c.v.-ketel,huis,3,120,false,false,false,,,,,5.5,14,77,erfpacht,,138,,,,,,,,,,
Utrecht,3522_58_49742023,2016-10-31T08:34:47.318Z,2016-05-22T00:00:00.000Z,false,false,1,1,ligbad,true,1904,1904,1904,9,,false,,,false,,Utrecht,58,350,2016-10-31T08:34:47.000Z,dubbel glas,5,false,,true,aan rustige weg en in woonwijk,,2 weken,betaald parkeren,false,,false,3522 AG,35,3522,inpandig,4,bestaande bouw,plat dak bedekt met bitumineuze dakbedekking,bovenwoning (dubbel bovenhuis),,Croesestraat,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49742023-croesestraat-58-bis/,2,true,2016-06-08T00:00:00.000Z,c.v.-ketel,false,false,tv kabel,300000,c.v.-ketel,appartement,2,106,false,false,false,,,,,,,,volle eigendom,0,,,,,,,,,,,
Utrecht,3522_5_49807442,2016-10-31T08:36:29.607Z,2016-06-30T00:00:00.000Z,true,true,1,1,douche en toilet,false,1930,1930,1930,14,,true,f,,false,,Utrecht,5,337,2016-10-31T08:36:29.000Z,dakisolatie en dubbel glas,4,false,,true,in woonwijk,ZO,14 dagen,openbaar parkeren,false,,false,3522 ED,35,3522,,3,bestaande bouw,zadeldak bedekt met dakpannen,"eengezinswoning, tussenwoning",,Socrateslaan,,false,http://www.funda.nl/koop/verkocht/utrecht/huis-49807442-socrateslaan-5/,,true,2016-07-13T00:00:00.000Z,c.v.-ketel,false,false,,265000,c.v.-ketel,huis,2,92,false,true,false,,,,,2.5,5,13,volle eigendom,0,74,,,,,,,,,,
Utrecht,3522_5_49818663,2016-10-31T08:30:05.423Z,2016-07-09T00:00:00.000Z,false,false,,1,douche en toilet,false,1906,1906,1906,,,false,g,,false,,Utrecht,5,100,2016-10-31T08:30:05.000Z,dubbel glas,2,false,,true,aan rustige weg en in woonwijk,,3 weken,openbaar parkeren,false,,false,3522 TA,35,3522,,1,bestaande bouw,plat dak,bovenwoning,,Westravenstraat,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49818663-westravenstraat-5-b/,2,true,2016-08-02T00:00:00.000Z,c.v.-ketel,false,false,,167500,c.v.-ketel,appartement,2,40,false,false,false,,,,,,,,volle eigendom,0,,,,,,,,,,,
Utrecht,3522_5_49981989,2016-10-31T08:27:02.759Z,2016-09-16T00:00:00.000Z,false,false,1,1,ligbad,true,1996,1996,1996,10,,false,c,,false,,Utrecht,5,330,2016-10-31T08:27:03.000Z,"dakisolatie, muurisolatie, vloerisolatie en dubbel glas",5,false,,true,,,2 weken,,false,100,false,3522 XC,35,3522,inpandig,3,bestaande bouw,plat dak bedekt met bitumineuze dakbedekking,bovenwoning,,Spuistraat,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49981989-spuistraat-5/,,true,2016-09-30T00:00:00.000Z,c.v.-ketel,false,false,,250000,c.v.-ketel,appartement,3,100,false,false,false,,,,,,,,volle eigendom,0,,,,,,,,,,,
Utrecht,3522_61_48280097,2016-10-31T09:07:04.980Z,2014-11-07T00:00:00.000Z,false,false,,,,false,1910,1910,1910,,,false,g,,false,,Utrecht,61,101,2016-10-31T09:07:05.000Z,volledig geïsoleerd,2,false,,true,,,12 maanden,betaald parkeren en parkeervergunningen,false,,false,3522 AT,35,3522,,1,bestaande bouw,samengesteld dak bedekt met bitumineuze dakbedekking en metaal,bovenwoning,,Amaliastraat,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-48280097-amaliastraat-61-b/,3,true,2015-11-19T00:00:00.000Z,c.v.-ketel,false,false,mechanische ventilatie,139950,c.v.-ketel,appartement,1,37,false,false,false,,,,,,,,volle eigendom,0,,,,,,,,,,,
Utrecht,3522_63_49460472,2016-10-31T09:01:05.360Z,2015-05-02T00:00:00.000Z,false,false,,1,douche en toilet,true,1935,1935,1935,5,,false,d,,false,,Utrecht,63,100,2016-10-31T09:01:05.000Z,dubbel glas,2,false,,true,aan rustige weg en in woonwijk,,8½ maand,betaald parkeren,false,50,false,3522 AT,35,3522,,1,bestaande bouw,samengesteld dak bedekt met bitumineuze dakbedekking en metaal,portiekflat (appartement),,Amaliastraat,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49460472-amaliastraat-63-a/,2,true,2016-01-16T00:00:00.000Z,c.v.-ketel,false,false,rolluiken,125000,c.v.-ketel,appartement,3,30,false,false,false,,,,,,,,volle eigendom,0,,,,,,,,,,,
Utrecht,3522_64_49885447,2016-10-31T08:32:35.695Z,2016-06-12T00:00:00.000Z,true,true,1,1,douche en toilet,false,2010,2010,2010,,,false,a,6,false,parkeerplaats,Utrecht,64,454,2016-10-31T08:32:35.000Z,volledig geïsoleerd,5,false,,true,"aan rustige weg, in woonwijk en vrij uitzicht",O,6 weken,betaald parkeren,false,,false,3522 PL,35,3522,vrijstaande houten berging,4,bestaande bouw,zadeldak bedekt met dakpannen,"eengezinswoning, tussenwoning",,Noordzeestraat,,false,http://www.funda.nl/koop/verkocht/utrecht/huis-49885447-noordzeestraat-64-p/,,true,2016-07-24T00:00:00.000Z,stadsverwarming,true,false,dakraam en mechanische ventilatie,465000,centrale voorziening,huis,3,123,false,false,false,,,,2,5,6.33,32,,,96,,,,,,,,,,
Utrecht,3522_66_49798189,2016-10-31T08:44:35.990Z,2016-04-03T00:00:00.000Z,false,true,1,2,"ligbad, 2 douches en 2 toiletten",false,1904,1904,1904,12,,true,f,7,false,,Utrecht,66,375,2016-10-31T08:44:36.000Z,dakisolatie en dubbel glas,5,false,,true,aan rustige weg en in woonwijk,ZW,13 dagen,openbaar parkeren en betaald parkeren,false,,false,3522 AG,35,3522,vrijstaande stenen berging,4,bestaande bouw,samengesteld dak bedekt met dakpannen en bitumineuze dakbedekking,"eengezinswoning, tussenwoning",,Croesestraat,,false,http://www.funda.nl/koop/verkocht/utrecht/huis-49798189-croesestraat-66/,,true,2016-04-15T00:00:00.000Z,c.v.-ketel,false,false,mechanische ventilatie,429000,c.v.-ketel,huis,3,123,false,false,false,,,,,4.65,4.75,22,volle eigendom,0,89,,,,,,,,,,
