voortuin_diepte,inpandige_ruimte_oppervlakte,kamers_text,achtertuin_diepte,postcode,soort_huis,woningtype,voortuin_text,title,eind_datum_erfpacht,cv_ketel,bouwjaar,voorzieningen,aangeboden_sinds,huisnummer,soort_woning,insertion_date,eigendomssituatie_text,ligging_tuin_text,achterom,bouwperiode_text,periodieke_bijdrage_text,badkamervoorzieningen,gelegen_op_text,zonneterras,inpandige_ruimte_text,funda_id,straat,service_kosten_text,keurmerken,patio_diepte,voortuin_oppervlakte,zonneterras_diepte,soort_bouw,zijtuin,zijtuin_oppervlakte,soort_appartement,schuur_of_berging,periodieke_bijdrage,parkeergelegenheid,vliering,balkon_of_dakterras,specifiek,vraagprijs,woonoppervlakte_text,verkoopdatum,zonneterras_text,looptijd,zonneterras_oppervlakte,externe_bergruimte_oppervlakte,inhoud,garage_capaciteit_text,externe_bergruimte_text,bouwperiode_end,garage_capaciteit,isolatie,aangeboden_sinds_text,achtertuin,page_nr,eigendomssituatie,voortuin_breedte,verdieping,zolder,vve_bijdrage_text,buitenruimte_oppervlakte,zonneterras_breedte,voortuin,balkon,aparte_toiletten,verkocht,warm_water,verwarming,kelder,tuin_text,woonoppervlakte,ligging_tuin,tuin_rondom,zijtuin_text,frans_balkon,patio_text,gemeente,dakterras,kamers,achtertuin_oppervlakte,ligging,url,slaapkamers,postcode_regio,perceel_oppervlakte_text,badkamers,garage_text,bouwjaar_text,zijtuin_diepte,id,vraagprijs_text,woonlagen_text,patio_oppervlakte,toegankelijkheid,perceel_oppervlakte,inhoud_text,buitenruimte_text,lasten_text,kosten_koper,badkamers_text,plaats,status,zijtuin_breedte,bouwperiode_start,aanvaarding,verkoopdatum_text,patio_breedte,kosten_erfpacht,achtertuin_text,woonlagen,energielabel_text,achtertuin_breedte,soort_dak,postcode_wijk,energielabel,patio
,1.0,4 kamers (3 slaapkamers),,1054 LS,,appartement,,Verkocht: Zocherstraat 43 III 1054 LS Amsterdam [funda],,,1920,mechanische ventilatie en tv kabel,2016-06-07 00:00:00,43,bovenwoning (appartement),2016-09-12 12:05:28.165000,volle eigendom  volle eigendom,,False,,,"jacuzzi, zitbad, douche en toilet",3e woonlaag,False,1 m²,49870255,Zocherstraat,,,,,,bestaande bouw,False,,bovenwoning (appartement),,80.0,parkeervergunningen,False,dakterras aanwezig en balkon aanwezig,,580000.0,113 m²,2016-09-05 00:00:00,,2½ maand,,,408.0,,,1920,,dakisolatie en vloerisolatie,7-6-2016,False,11,volle eigendom,,3,False,€ 80 per maand,24.0,,False,True,1,True,c.v.-ketel,c.v.-ketel,False,,113.0,,False,,False,,Amsterdam,True,4,,"aan park, aan rustige weg, in woonwijk, vrij uitzicht en beschutte ligging",http://www.funda.nl/koop/verkocht/amsterdam/appartement-49870255-zocherstraat-43-iii/,3,10,,2,,1920,,1054_43_49870255,€ 580.000,2 woonlagen,,,,408 m³,24 m²,,True,2 badkamers en 1 apart toilet,False,verkocht,,1920,,5-9-2016,,0,,2,,,,1054,,False
,,3 kamers (1 slaapkamer),,1016 GD,,appartement,,Verkocht: Keizersgracht 436 A 1016 GD Amsterdam [funda],,,1720,elektra,2016-08-13 00:00:00,436,benedenwoning (appartement),2016-09-12 12:05:28.215000,volle eigendom  volle eigendom,,False,,,douche en toilet,begane grond,False,,49956771,Keizersgracht,,,,,,bestaande bouw,False,,benedenwoning (appartement),inpandig,87.0,"openbaar parkeren, betaald parkeren en parkeervergunningen",False,,monumentaal pand en monument,500000.0,77 m²,2016-09-01 00:00:00,,2 weken,,,253.0,,,1720,,,13-8-2016,False,11,volle eigendom,,0,False,€ 87 per maand,,,False,False,2,True,c.v.-ketel,c.v.-ketel,False,,77.0,,False,,False,,Amsterdam,False,3,,"aan rustige weg, in centrum en aan vaarwater",http://www.funda.nl/koop/verkocht/amsterdam/appartement-49956771-keizersgracht-436-a/,1,10,,1,,1720,,1016_436_49956771,€ 500.000,2 woonlagen,,,,253 m³,,,True,1 badkamer en 2 aparte toiletten,False,verkocht,,1720,,1-9-2016,,0,,2,,,samengesteld dak bedekt met bitumineuze dakbedekking,1016,,False
,7.0,3 kamers (1 slaapkamer),,1065 EG,,appartement,,Verkocht: Jacques Veltmanstraat 79 + pp 1065 EG Amsterdam [funda],2052-03-15 00:00:00,,2003,mechanische ventilatie,2016-07-01 00:00:00,79,galerijflat (appartement),2016-09-12 12:05:28.233000,erfpacht (afgekocht tot 15-3-2052 tot einddatum erfpacht met optie tot afkopen)  erfpacht (einddatum erfpacht:  15-03-2052),,False,,,ligbad en douche,9e woonlaag,False,7 m²,49809421,Jacques,,,,,,bestaande bouw,False,,galerijflat (appartement),inpandig,,parkeergarage,False,,,299000.0,94 m²,2016-07-18 00:00:00,,2 weken,,,260.0,,,2003,,"dakisolatie, muurisolatie en dubbel glas",1-7-2016,False,11,erfpacht,,9,False,,6.0,,False,False,1,True,c.v.-ketel,c.v.-ketel,False,,94.0,,False,,False,,Amsterdam,False,3,,"aan rustige weg, in woonwijk, open ligging en vrij uitzicht",http://www.funda.nl/koop/verkocht/amsterdam/appartement-49809421-jacques-veltmanstraat-79-pp/,1,10,,1,parkeerplaats,2003,,1065_79_49809421,€ 299.000,1 woonlaag,,,,260 m³,6 m²,afgekocht tot 15-03-2052,True,1 badkamer en 1 apart toilet,False,verkocht,,2003,,18-7-2016,,0,,1,b,,plat dak,1065,b,False
,,3 kamers (2 slaapkamers),,1083 DB,,appartement,,Verkocht: Kanteel 47 1083 DB Amsterdam [funda],2038-05-15 00:00:00,,1987,lift,2016-03-16 00:00:00,47,bovenwoning,2016-09-12 12:05:28.250000,erfpacht (afgekocht tot 15-5-2038 met optie tot afkopen)  erfpacht,,False,,,douche,4e woonlaag,False,,49779333,Kanteel,,,,,,bestaande bouw,False,,bovenwoning,box,125.0,,False,balkon aanwezig,,349500.0,95 m²,2016-05-31 00:00:00,,2½ maand,,4.0,270.0,,4 m²,1987,,,16-3-2016,False,11,erfpacht,,4,False,€ 125 per maand,6.0,,False,True,1,True,c.v.-ketel,c.v.-ketel,False,,95.0,,False,,False,,Amsterdam,False,3,,vrij uitzicht,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49779333-kanteel-47/,2,10,,1,,1987,,1083_47_49779333,€ 349.500,1 woonlaag,,,,270 m³,6 m²,afgekocht tot 15-05-2038,True,1 badkamer en 1 apart toilet,False,verkocht,,1987,,31-5-2016,,0,,1,c,,,1083,c,False
,,3 kamers (2 slaapkamers),,1087 LC,,appartement,,Verkocht: Johan Huijsenstraat 22 1087 LC Amsterdam [funda],2056-09-30 00:00:00,,2008,mechanische ventilatie,2016-08-06 00:00:00,22,portiekwoning (appartement),2016-09-12 12:05:28.268000,eigendom belast met erfpacht (afgekocht tot 30-9-2056 tot einddatum erfpacht met optie tot afkopen)  gemeentelijk eigendom belast met erfpacht (einddatum erfpacht:  30-09-2056),,False,,,ligbad,2e woonlaag,False,,49844533,Johan,,,,,,bestaande bouw,False,,portiekwoning (appartement),box,110.0,,False,balkon aanwezig,,275000.0,82 m²,2016-08-10 00:00:00,,5 dagen,,5.0,264.0,,5 m²,2008,,,6-8-2016,False,11,erfpacht,,2,False,€ 110 per maand,8.0,,False,True,1,True,centrale voorziening,stadsverwarming,False,,82.0,,False,,False,,Amsterdam,False,3,,aan rustige weg en in woonwijk,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49844533-johan-huijsenstraat-22/,2,10,,1,,2008,,1087_22_49844533,€ 275.000,1 woonlaag,,,,264 m³,8 m²,afgekocht tot 30-09-2056,True,1 badkamer en 1 apart toilet,False,verkocht,,2008,,10-8-2016,,0,,1,a,,,1087,a,False
,,6 kamers (4 slaapkamers),0.01,1107 WG,"eengezinswoning, tussenwoning",huis,,Verkocht: Spengenpad 7 1107 WG Amsterdam [funda],2034-07-31 00:00:00,,1985,"tv kabel, schuifpui en dakraam",2016-07-24 00:00:00,7,"eengezinswoning, tussenwoning",2016-09-12 12:05:28.311000,erfpacht (tot einddatum erfpacht met optie tot afkopen)  erfpacht (einddatum erfpacht:  31-07-2034),gelegen op het oosten bereikbaar via achterom,True,,,,,False,,85297059,Spengenpad,,,,,,bestaande bouw,False,,,vrijstaande houten berging,,,False,,,259000.0,147 m²,2016-08-25 00:00:00,,4 weken,,5.0,365.0,,5 m²,1985,,dubbel glas,24-7-2016,True,23,erfpacht,,,False,,,,True,False,,True,c.v.-ketel,c.v.-ketel,False,voortuin en achtertuin,147.0,O,False,,False,,Amsterdam,False,6,,in woonwijk,http://www.funda.nl/koop/verkocht/amsterdam/huis-85297059-spengenpad-7/,4,11,130 m²,,,1985,,1107_7_85297059,€ 259.000,3 woonlagen,,,130.0,365 m³,,,True,,False,verkocht,,1985,,25-8-2016,,0,"m² (0,01m diep en 5m breed)",3,c,5.0,zadeldak bedekt met dakpannen,1107,c,False
,3.0,3 kamers (2 slaapkamers),,1062 KV,,appartement,,Verkocht: Carnapstraat 3 1062 KV Amsterdam [funda],2046-07-01 00:00:00,,1998,"lift, mechanische ventilatie en tv kabel",2016-04-28 00:00:00,3,maisonnette (appartement),2016-09-12 12:05:28.330000,erfpacht (afgekocht tot 1-7-2046 met optie tot afkopen)  gemeentelijke erfpacht,,False,,,,1e woonlaag,False,3 m²,49726955,Carnapstraat,,,,,,bestaande bouw,False,,maisonnette (appartement),box,147.0,betaald parkeren en parkeergarage,False,balkon aanwezig,,335000.0,95 m²,2016-06-27 00:00:00,,2 maanden,,7.0,235.0,,7 m²,1998,,dubbel glas en volledig geïsoleerd,28-4-2016,False,23,erfpacht,,1,False,€ 147 per maand,15.0,,False,True,,True,c.v.-ketel,c.v.-ketel,False,,95.0,,False,,False,,Amsterdam,False,3,,"aan park, aan rustige weg, in woonwijk en vrij uitzicht",http://www.funda.nl/koop/verkocht/amsterdam/appartement-49726955-carnapstraat-3/,2,10,,,parkeerkelder en parkeerplaats,1998,,1062_3_49726955,€ 335.000,2 woonlagen,,,,235 m³,15 m²,afgekocht tot 01-07-2046,True,,False,verkocht,,1998,,27-6-2016,,0,,2,b,,plat dak bedekt met bitumineuze dakbedekking,1062,b,False
,,1 kamer (1 slaapkamer),,1065 LX,,appartement,,Verkocht: Jan Muschstraat 8 1065 LX Amsterdam [funda],2034-10-15 00:00:00,,1984,elektra,2016-07-02 00:00:00,8,bovenwoning (appartement),2016-09-12 12:05:28.348000,erfpacht (tot einddatum erfpacht)  gemeentelijke erfpacht (einddatum erfpacht:  15-10-2034),,False,,,douche en toilet,3e woonlaag,False,,49800928,Jan,,,,,,bestaande bouw,False,,bovenwoning (appartement),inpandig,62.0,openbaar parkeren,False,balkon aanwezig,,132500.0,31 m²,2016-08-03 00:00:00,,4 weken,,2.0,99.0,,2 m²,1984,,dubbel glas,2-7-2016,False,23,erfpacht,,3,False,€ 62 per maand,4.0,,False,True,,True,c.v.-ketel,c.v.-ketel,False,,31.0,,False,,False,,Amsterdam,False,1,,aan rustige weg,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49800928-jan-muschstraat-8/,1,10,,1,,1984,,1065_8_49800928,€ 132.500,1 woonlaag,,,,99 m³,4 m²,,True,1 badkamer,False,verkocht,,1984,,3-8-2016,,0,,1,"b 1,23",,plat dak bedekt met bitumineuze dakbedekking,1065,b,False
,,5 kamers (3 slaapkamers),5.0,1073 XH,,appartement,,Verkocht: Quellijnstraat 119 hs 1073 XH Amsterdam [funda],,,1912,mechanische ventilatie,2016-06-24 00:00:00,119,benedenwoning (appartement),2016-09-12 12:05:28.368000,volle eigendom  volle eigendom,,False,,,"ligbad, 2 douches en 2 toiletten",begane grond,False,,49891464,Quellijnstraat,,,,,,bestaande bouw,False,,benedenwoning (appartement),inpandig,,parkeergarage,False,,,1950000.0,250 m²,2016-09-06 00:00:00,,2 maanden,,,1000.0,,,1912,,dubbel glas,24-6-2016,True,6,volle eigendom,,0,False,,,,False,False,1,True,c.v.-ketel,c.v.-ketel,False,achtertuin,250.0,,False,,False,,Amsterdam,False,5,20.0,in woonwijk,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49891464-quellijnstraat-119-hs/,3,10,,2,inpandig,1912,,1073_119_49891464,€ 1.950.000,2 woonlagen,,,,1.000 m³,,,True,2 badkamers en 1 apart toilet,False,verkocht,,1912,,6-9-2016,,0,20 m² (5m diep en 4m breed),2,,4.0,,1073,,False
,,2 kamers (1 slaapkamer),,1059 SZ,,appartement,,Verkocht: Woestduinstraat 130 I 1059 SZ Amsterdam [funda],,,1933,tv kabel,2016-07-16 00:00:00,130,bovenwoning (appartement),2016-09-12 12:05:28.399000,volle eigendom  volle eigendom,,False,,,ligbad en toilet,2e woonlaag,False,,49825564,Woestduinstraat,,energie prestatie advies,,,,bestaande bouw,False,,bovenwoning (appartement),,50.0,betaald parkeren en parkeervergunningen,False,balkon aanwezig,gedeeltelijk gestoffeerd,239000.0,53 m²,2016-08-10 00:00:00,,3 weken,,,169.0,,,1933,,gedeeltelijk dubbel glas,16-7-2016,False,23,volle eigendom,,2,False,€ 50 per maand,7.0,,False,True,,True,c.v.-ketel,c.v.-ketel,False,,53.0,,False,,False,,Amsterdam,False,2,,aan rustige weg en in woonwijk,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49825564-woestduinstraat-130-i/,1,10,,1,,1933,,1059_130_49825564,€ 239.000,1 woonlaag,,,,169 m³,7 m²,,True,1 badkamer,False,verkocht,,1933,,10-8-2016,,0,,1,d,,zadeldak bedekt met dakpannen,1059,d,False
